id,title,type,coverImage,sourceUrl,date,location,gpsCoords,feat,description,easterEgg
11,The Sound of Silence,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fthe-sound-of-silence.webp?alt=media&token=aa535ca5-82f7-459c-8ab1-56425382845d,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fthe-sound-of-silence.m4v?alt=media&token=d696d19e-08e9-49c9-b5b6-4880c07e2b33,11/2024,Oregon Coast Range,"42.154703, -124.364564",Michael,#vanlife from SF to Oregon Coast.,
12,I Could Be the One,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fi-could-be-the-one.webp?alt=media&token=49fc5000-c057-440d-9ced-db44a930df43,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fi-could-be-the-one.m4v?alt=media&token=2f2cd5bb-5416-46a4-8c50-4d9a8db2592f,09/2024,Puerto Vallarta,"20.600879, -105.233945","Eli, Ayush",A bachelor party to remember.,
13,Second Hand News,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fsecond-hand-news.webp?alt=media&token=04b5009a-0dda-400c-8fbb-885ba4086576,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fsecond-hand-news.m4v?alt=media&token=d5adb845-b645-40f6-9e28-7485248ce585,07/2024,Big Island,"19.625450, -155.986058","Michael, Janita, Tom",They're back... and they're going big on the big island!,
14,No Apagues La Luz,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fno-apagues-la-luz.webp?alt=media&token=b43f9dbb-3e75-45cf-a268-fa573476b7bb,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fno-apagues-la-luz.m4v?alt=media&token=077d6a20-a44b-4c95-9f30-f43d9895d22e,04/2024,Madrid,"40.41678, -3.70379",Michael,La vida magnífica.,
15,Winter Song,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fwinter-song.webp?alt=media&token=61682025-d8a4-44fe-b1a7-bf7fad4750b1,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fwinter-song.m4v?alt=media&token=c9e676b7-e6c7-4131-a6d5-a28ecf875ca8,01/2024,Bear Valley,"38.46508, -120.04158","Amy, Irene, Michael",A-list crew in an A-frame winter cottage.,
16,Into the West,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Finto-the-west.webp?alt=media&token=63b95e54-0d4b-470c-8ee1-8a9d28505a04,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Finto-the-west.m4v?alt=media&token=b3063b82-2c30-4eaa-85f4-43a342204771,02/2023,Big Island,"19.64013, -155.99566",Michael,If you found this video on a holiday card -- congratulations... and enjoy!,
17,Baba O'Riley,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fbaba-oriley.webp?alt=media&token=3a0f07ee-505b-4e87-a66f-d92460294e52,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fbaba-oriley.m4v?alt=media&token=861d6db3-779f-423f-b8d4-35ff073ee8d1,06/2022,Maui,"20.76558, -156.45252","Janita, Tom, Michael",Tom's debut performance falls short of nothing.,
18,Ojai,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fojai.webp?alt=media&token=087f0f17-1789-400c-b9d9-3b6ac747b655,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fojai.m4v?alt=media&token=977f3420-5222-48e6-904e-efa4c7f63825,03/2022,Channel Islands,"34.00691, -119.77849",Michael,"Channel Islands (Santa Cruz Island) + Ojai, CA. Cute island foxes. Lissie.",
19,"Flightless Bird, American Mouth",video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fflightless-bird-american-mouth.webp?alt=media&token=a0405020-b9d9-4013-8bf0-a034aefa93a7,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fflightless-bird-american-mouth.m4v?alt=media&token=7a3989af-86ee-4cd7-817e-4447bc4b6b95,09/2021,Seattle and Vancouver,"49.28273, -123.12074",Michael,"Merrymaking in the Pacific Northwest - North Cascades and British Columbia. September 13 - 19, 2021.",
20,Cowboy Take Me Away,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fcowboy-take-me-away.webp?alt=media&token=a355ccf3-cdb1-4ee0-af85-b11d9d294d11,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fcowboy-take-me-away.m4v?alt=media&token=626a988a-285d-4715-9290-0c066d4add57,04/2021,New Mexico,"35.68700, -105.93780",Michael,"New Mexico - Abiquiu Lake, Mesa Verde, Santa Fe. April 25 - 30, 2021.",
21,Rivers and Roads,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Frivers-and-roads.webp?alt=media&token=475015f3-73ad-4633-9208-b5dbdc148364,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Frivers-and-roads.m4v?alt=media&token=112d58ad-73d9-4f26-a026-4e80b332f4a7,08/2020,Grand Teton National Park and Yellowstone National Park,"43.79043, -110.68176",Michael,"Grand Teton & Yellowstone. Sorry for choppy video. As Alanis Morissette says, 'You live, you learn.' August 8 - 14, 2020.",
22,Shallow,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fshallow.webp?alt=media&token=50221aa1-cd50-41cf-8909-c62fc439b6fb,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fshallow.m4v?alt=media&token=6fe8ec05-fa44-4cd6-ab91-0e2277270c4f,11/2019,Grand Canyon National Park and Sedona,"34.86974, -111.76099",Michael,"Arizona antics. Sedona, Grand Canyon, Antelope Canyon. November 9 - 16, 2019.",
23,Tiny Dancer,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Ftiny-dancer.webp?alt=media&token=5cc67b9b-522e-4ae6-a071-5f3a5907747d,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Ftiny-dancer.m4v?alt=media&token=69e08f35-08f9-44d8-acb2-434eede6285c,06/2019,Maui,"20.76558, -156.45252",Janita,Janita & Stephen soak up the sun on the beaches of Maui.,
24,Drift Away,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fdrift-away.webp?alt=media&token=6699d24b-c036-4037-a963-b08dbc06cf0b,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fdrift-away.m4v?alt=media&token=0f74b88b-6a93-4c85-ab97-7ae63b9e3d55,10/2016,Catskill Mountains,"42.10485, -74.51829","Emily, Jackson, Michael","In their debut music video, Emily & Her FBs take advantage of all the Catskills have to offer, and then some...! Catskills 2016",
25,Fly Away Home,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Ffly-away-home.webp?alt=media&token=a34a2b95-e133-48e7-af50-acb9bb65543a,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Ffly-away-home.m4v?alt=media&token=1e591ef8-d57d-4fc6-b7af-bf8b8109ddaf,08/2016,Banff National Park,"51.49685, -115.92806",Michael,"Stephen and Michael fly away home with Mary Chapin Carpenter to Banff & Jasper National Parks, Alberta, Canada. August 13-20, 2016.",
26,Transatlanticism,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Ftransatlanticism.webp?alt=media&token=c0fc5259-a7b2-43c2-863b-c09ea423ba57,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Ftransatlanticism.mp4?alt=media&token=e0e342ec-2204-4a70-bad7-5cff8afc694f,06/2015,Iceland,"64.13548, -21.89541",Michael,"Unable to deal with the distance separating them, Michael and Stephen set off on separate journeys to find one another.",
27,One of Us,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fone-of-us.webp?alt=media&token=dce9f239-8ddc-489c-81e0-446b9e1c758e,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fone-of-us.mp4?alt=media&token=ec4c9b7a-9d2e-4691-9b70-4873f2608f39,05/2014,Austria,"47.80949, 13.05501",Stephen,"In his debut solo performance, Stephen explores the timeless question: 'What if God was one of us?' Just a stranger on the bus, he travels through Italy and Austria trying to make his way home, with stops in Milan, Innsbruck, Salzburg, and Vienna.",
28,Fast Car,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Ffast-car.webp?alt=media&token=f9178a52-29c4-46a1-872a-1da1b3321fca,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Ffast-car.mov?alt=media&token=ce20c5b2-47d0-4c79-9745-1c0a18e4ddf3,09/2013,Crater Lake National Park,"42.94459, -122.10902",Michael,"Camping trip to Crater Lake and Redwoods National Park from September 6 - 8, 2013.",
29,You Were Meant for Me,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fyou-were-meant-for-me.webp?alt=media&token=ced56daf-97f0-4c95-9bd7-d99076888748,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fyou-were-meant-for-me.m4v?alt=media&token=1dcfee98-a536-4d69-b1ae-f0c1ef7349e5,03/2013,Humboldt Redwoods State Park,"40.32981, -123.92448",Michael,"Camping trip to Humboldt State Redwoods State Park from March 20 - 22, 2013.",
30,Impossible,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fimpossible.webp?alt=media&token=2d295064-f01c-49b8-bef3-cd9a5b84abb1,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fimpossible.mov?alt=media&token=a3b132dc-0770-4000-8105-fac319353f2a,05/2012,Oak Creek Apartments | Stanford,"37.40345, -122.14780",Michael,"Stephen and Michael are at it once again, this time with an artistic rendition of 'Impossible' from the 1997 classic live-action remake of Cinderella. No rendition of this song could do it justice without also having an 'all-star, multi-racial cast,' as Stephen and Michael bring to the table.",
31,TiK ToK,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Ftik-tok.webp?alt=media&token=7477d1bc-536d-4f53-976f-45d93b2d47a3,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fthe-sound-of-silence.m4v?alt=media&token=d696d19e-08e9-49c9-b5b6-4880c07e2b33,06/2019,Maui,"20.76558, -156.45252","Irene, Michael","Mostly snorkel trip with Michael, Irene, and Stephen. Guest cameo from Janita!",
32,Space Oddity,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fspace-oddity.webp?alt=media&token=45cdd83f-21ca-499c-8190-cb97a8459354,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Ftik-tok.m4v?alt=media&token=273476ee-4aa3-4569-9f77-3b894979f4a9,04/2017,Manhattan,"40.78495, -73.95150",Stephen,"To the tune of David Bowie's 'Space Oddity,' Stephen shares a glimpse of his life in apartment 14B-4.",
33,Seasons of Love,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fseasons-of-love.webp?alt=media&token=432dbb22-c442-426e-bee5-3db15863ed8d,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fseasons-of-love.m4v?alt=media&token=308e071c-af17-4a3d-a02b-ce73b4baddf8,05/2025,Glacier Bay National Park and Preserve,"58.668770, -136.105589","Ben, Emily, Irene, Michael, Randi",16 years in the making...,
34,Sea of Love,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fsea-of-love.webp?alt=media&token=00e26245-0840-4b6b-a442-8a0650613b72,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fsea-of-love.m4v?alt=media&token=b951aa18-f18f-47d3-a550-324f921b4d96,07/2025,Glacier National Park,"48.656564, -113.789418",Michael,Exploring the 'American Alps.',
35,Yummy,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fyummy.webp?alt=media&token=703a46f7-42c2-41a1-88df-224aa290552a,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fyummy.png?alt=media&token=2b06b472-b19a-4649-bc45-80c0b18439a7,,,,,,
36,Bernal Hill Sunset w Sutro Tower,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fbernal-hill-sunset-sutro.webp?alt=media&token=c60f4f4f-3507-47f2-8211-177b753f3d02,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fbernal-hill-sunset-sutro.webp?alt=media&token=c60f4f4f-3507-47f2-8211-177b753f3d02,,,,,,
37,San Bruno Sunrise,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fsan-bruno-commute-sunrise.webp?alt=media&token=4bcf14f6-6f6a-4d6d-88e7-30c3af26c98a,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fsan-bruno-commute-sunrise.png?alt=media&token=2e66208e-32d4-488b-9800-2639745fd008,,,,,,
38,SF City Hall,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fsf-city-hall.webp?alt=media&token=e433da4b-0991-41e3-98b9-24a31f93d1e9,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fsf-city-hall.png?alt=media&token=35c8500d-05b0-49e7-ae98-ae9dc5f829d3,,,,,,
39,Bernal Hil Sunset,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fbernal-hill-sunset.webp?alt=media&token=6e7fb682-8c5f-4383-8dde-bd5ad217fa34,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fbernal-hill-sunset.webp?alt=media&token=6e7fb682-8c5f-4383-8dde-bd5ad217fa34,,,,,,
40,Vatican Sunrise,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fvatican-sunrise.webp?alt=media&token=8c44af50-7dd8-422d-a3a9-a798d6272f07,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fvatican-sunrise.png?alt=media&token=71b52ddd-1a0b-4ebe-9742-0a3dc8860b5f,,,,,,
41,Deb Cat Tree,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fdeb-cat-tree-abstract.webp?alt=media&token=3b86b898-6289-4aa7-bbb8-941e847f6699,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fdeb-cat-tree-abstract.png?alt=media&token=8ae0db13-8427-44d8-9c93-3f212d34989f,,,,,,
42,Millie & Stephen,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fstephen-and-millie.webp?alt=media&token=e4b80f33-d179-45a3-b780-523a2d538428,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fstephen-and-millie.png?alt=media&token=e521f08e-5c8d-4f49-b6fe-e260d60e3918,,,,,,
43,Dexter B&W,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fdexter-b%26w.webp?alt=media&token=c23f5bee-9beb-4c08-aea9-e6c7c4f19c19,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fdexter-b%26w.webp?alt=media&token=c23f5bee-9beb-4c08-aea9-e6c7c4f19c19,,,,,,
44,Dexter on Ledge,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fdexter-on-ledge.webp?alt=media&token=63d52b1d-134d-4ea9-95b5-c935cbc9275b,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fdexter-on-ledge.png?alt=media&token=b67ac3a2-4c4e-4410-8bcd-b7272d77f973,,,,,,
45,TSR Michael,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Ftsr-michael-onelab.webp?alt=media&token=bad9df3f-a39a-49b9-b732-fd3396c658c0,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Ftsr-angles-michael.png?alt=media&token=e1e8b3a1-d056-4fa9-a328-83ddd9f998ab,,,,,,
46,Yellow House SF,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fyellow-house-sf.webp?alt=media&token=c162a6d0-a19e-4896-a2df-0dc21002f080,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fyellow-house-sf.png?alt=media&token=2117bfd7-28c0-4f63-9941-c738d80b00c5,,,,,,
47,Mission St Madrugada,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fmission-st-madrugada-abstract.webp?alt=media&token=817ca96d-4780-4610-b8dd-7fe99a3fcd6d,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fmission-st-madrugada-abstract.png?alt=media&token=a6d686aa-4871-42ea-8dd6-c7b9d1621e43,,,,,,
48,Granada Sunrise,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fgranada-sunrise.webp?alt=media&token=af425513-d8e9-49b0-b7fd-57df7b428190,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fgranada-sunrise.webp?alt=media&token=af425513-d8e9-49b0-b7fd-57df7b428190,,,,,,
49,Bernal Hill Sunset Panorama,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fbernal-hill-sunset-panorama.webp?alt=media&token=9cb7f173-884c-4d55-b4c9-08c696d4b296,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fbernal-hill-sunset-panorama.webp?alt=media&token=9cb7f173-884c-4d55-b4c9-08c696d4b296,,,,,,
50,Windmill Sunset Unedited,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fwindmill-sunset-unedited.webp?alt=media&token=b3c16f12-ee58-4b19-af3e-ac024724cba1,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fwindmill-sunset-unedited.png?alt=media&token=c3517fc7-9ed5-4eb1-856c-70a271925d37,,,,,,
51,Deb on Ledge,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fdeb-on-ledge.webp?alt=media&token=a5f037bf-795b-4562-862f-04c9f0ff8d5e,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fdeb-on-ledge.png?alt=media&token=f7db5ed3-595a-427a-ac30-e1a21b7517d6,,,,,,
52,TSR Angles,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Ftsr-angles-michael.webp?alt=media&token=59f19a50-5075-42b0-80f7-49bfd54531f1,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Ftsr-angles-michael.png?alt=media&token=e1e8b3a1-d056-4fa9-a328-83ddd9f998ab,,,,,,
53,Windmill Sunset,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fwindmill-sunset.webp?alt=media&token=5974878e-9db0-4691-9653-d2320de573e7,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fwindmill-sunset.png?alt=media&token=536b494a-4425-43bc-94b8-44c47386a64d,,,,,,
54,Deb Psychedelic,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fdeb-psychedelic.webp?alt=media&token=08c6f226-45cc-4dae-a02c-47c158af44f6,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fdeb-psychedelic.png?alt=media&token=173b336f-790d-448f-b104-435195c6720b,,,,,,
55,Deb on Table,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fdeb-on-table.webp?alt=media&token=772389f3-36ea-4aa3-b6c0-a07b815cc868,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fdeb-on-table.png?alt=media&token=67ab3423-9cc8-4208-8fc2-b0df69a02aff,,,,,,
56,Bernal Houses Sunset,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fbernal-houses-sunset.webp?alt=media&token=2ab0393f-8878-489d-98c7-3f1fd5b33485,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fbernal-houses-sunset.webp?alt=media&token=2ab0393f-8878-489d-98c7-3f1fd5b33485,,,,,,
57,TSR Sunset Coast,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Ftsr-sunet-coast.webp?alt=media&token=9c81f061-bda3-4e8c-ab3b-4b1fcc72dd8e,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Ftsr-sunet-coast.webp?alt=media&token=9c81f061-bda3-4e8c-ab3b-4b1fcc72dd8e,,,,,,
